new_order,hash_new,hash_full,old_hash,old_order,map_type,mapping_notes,author_date,commit_date,author_name,parent_hashes,parent_count,is_merge,subject_v1,subject_v2,body_v2,C_complexity,I_impact,R_risk,S_scope,D_doc_quality,total_score,tier,lines_added_exact,lines_deleted_exact,files_changed_exact,files_added,files_modified,files_deleted,files_renamed,touches_critical,touches_proxy,touches_preflight,touches_metrics,touches_dashboard,touches_scripts,touches_tests,touches_docs,touches_config,has_body,blu_refs,phase_ref,gap_seconds,gap_hours,gap_category,C_v1,I_v1,R_v1,S_v1,D_v1,total_v1,tier_v1,score_delta
1,1a0d174,1a0d174daf477f602d7ee1f9975c9ada9a7f4fc7,1b421f3,36,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: b346823,2026-04-10 16:31:45 +0200,2026-04-10 16:31:45 +0200,oliverpecha,,0,False,Initial commit,chore(core): initialize repository with MIT license,"chore(core): initialize repository with MIT license

Establishing the foundational open-source license for the BEO project. Selecting the MIT license ensures permissive usage, modification, and distribution for future contributors and deployments.",1,1,1,1,2,6,Routine,21,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False,True,,,,,pause,1,1,1,2,1,6,🟡 Routine,0.0
2,1b62543,1b62543c5e8b2214ff3b792fab4ec6c827413020,f403a87,35,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 492d2be,2026-04-10 16:50:16 +0200,2026-04-10 16:50:16 +0200,Oliver Pecha,1a0d174daf477f602d7ee1f9975c9ada9a7f4fc7,1,False,BEO: initial scaffold — Phase 0 baseline,feat(core): establish Phase 0 baseline scaffold and deployment templates,"feat(core): establish Phase 0 baseline scaffold and deployment templates

The repository required a secure starting point for environment variables and remote deployment. Introducing .env.example ensures sensitive keys are never tracked, while deploy.sh provides a standardized automated deployment path to VPS environments.",3,3,2,3,3,14,Critical,468,0,10,10,0,0,0,True,False,False,False,False,True,False,True,True,True,,0.0,1111.0,0.3,hotfix,3,3,2,3,1,12,🟠 Significant,2.0
3,104eab9,104eab9a9c5b54ea7e8738f08f8a84334e584844,1b3f4cc,32,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 3e3b4a6,2026-04-10 17:37:43 +0200,2026-04-10 17:37:43 +0200,Oliver Pecha,1b62543c5e8b2214ff3b792fab4ec6c827413020,1,False,chore: hide shell script from language stats,chore(repo): exclude shell scripts from GitHub language statistics,"chore(repo): exclude shell scripts from GitHub language statistics

The repository's language metrics were being skewed by infrastructure shell scripts, misrepresenting the core technology stack. Updating .gitattributes to ignore shell scripts restores accurate language tracking for the project dashboard.",1,1,1,1,3,7,Routine,0,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False,True,,,2847.0,0.8,hotfix,1,1,1,1,2,6,🟡 Routine,1.0
4,227cf7b,227cf7b9fb12a57455971e6a3794790fd1d022e8,fc61d80,30,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 8bbbc84,2026-04-14 17:03:45 +0000,2026-04-14 17:03:45 +0000,Oliver Pecha,104eab9a9c5b54ea7e8738f08f8a84334e584844,1,False,"chore: Phase 0 accomplished. updates: .gitignore, deprecate docker-compose.yml...",test(core): implement Phase 0 test protocol and dynamic config generator,"test(core): implement Phase 0 test protocol and dynamic config generator

The initial deployment lacked automated verification and required manual YAML editing for API keys. Introducing beo_p0_test.sh provides robust stack verification, while generate_litellm_config.sh dynamically injects keys. This eliminates manual configuration errors and solidifies the Phase 0 baseline.",3,2,2,2,3,12,Significant,328,48,4,2,1,1,0,True,False,False,False,False,False,True,False,True,True,,0.0,350762.0,97.4,normal,3,3,2,3,2,13,🔴 Critical,-1.0
5,3a2e9b7,3a2e9b754a8208c383baa04225c42d087e061fd9,d4594c7,29,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: ba2d09f,2026-04-14 17:04:03 +0000,2026-04-14 17:04:03 +0000,Oliver Pecha,227cf7b9fb12a57455971e6a3794790fd1d022e8,1,False,chore: untrack generated litellm_config.yaml,chore(core): untrack generated litellm configuration,"chore(core): untrack generated litellm configuration

The static litellm_config.yaml was previously tracked in version control, risking credential leaks and causing environment conflicts. Removing it from the repository ensures configurations remain strictly dynamic and host-specific.",2,2,3,1,2,10,Significant,0,91,1,0,0,1,0,True,False,False,False,False,False,False,False,True,True,,,18.0,0.0,hotfix,3,2,3,2,2,12,🟠 Significant,-2.0
6,cb1cbf4,cb1cbf412667c7460f4684c81d2f886a6302d465,c28f655,28,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: b96725d,2026-04-14 19:12:24 +0000,2026-04-14 19:12:24 +0000,Oliver Pecha,3a2e9b754a8208c383baa04225c42d087e061fd9,1,False,"docs: add setup.sh to Quick Start, explain data/ dir requirement (BLU-03)",docs(core): introduce setup script and update deployment guide,"docs(core): introduce setup script and update deployment guide

Git does not track empty directories, which caused Redis to fail when Docker mounted missing host paths as root. Adding a setup.sh script to explicitly create these data directories resolves the permission issues, and the README has been updated to reflect the new workflow.",1,1,1,1,3,7,Routine,23,5,2,1,1,0,0,False,False,False,False,False,False,False,True,False,True,,,7701.0,2.1,rapid,2,2,2,2,2,10,🟠 Significant,-3.0
7,2d0c78a,2d0c78a27bd1f97c371368120cacad7c80fe0353,405dc2b,27,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 4ba6e89,2026-04-14 19:18:51 +0000,2026-04-14 19:18:51 +0000,Oliver Pecha,cb1cbf412667c7460f4684c81d2f886a6302d465,1,False,chore: track data/redis/.gitkeep despite .gitignore (BLU-03),chore(core): enforce tracking of redis data placeholder,"chore(core): enforce tracking of redis data placeholder

The Redis data directory was occasionally being ignored by global git configurations. Explicitly whitelisting the data directory and its .gitkeep file in .gitignore ensures the directory structure is preserved across clones.",1,1,1,1,3,7,Routine,3,0,2,1,1,0,0,False,False,False,False,False,False,False,False,False,True,,,387.0,0.1,hotfix,1,3,2,1,2,9,🟠 Significant,-2.0
8,fb85cfc,fb85cfcbbb932d8ac840f343a54413ea1ac40421,7b274fd,26,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 83d2273,2026-04-14 21:01:13 +0000,2026-04-14 21:01:13 +0000,Oliver Pecha,2d0c78a27bd1f97c371368120cacad7c80fe0353,1,False,"feat: Phase 1 complete — persistence, cold-start, constraints",feat(core): complete Phase 1 persistence and security constraints,"feat(core): complete Phase 1 persistence and security constraints

The system lacked automated verification for volume mounts and execution constraints. Adding beo_p1_test.sh automates these checks, and updating openclaw.json to disable sandbox mode and deny specific gateway commands secures the environment. This successfully finalizes the Phase 1 deployment architecture.",3,3,2,2,3,13,Critical,166,31,4,1,3,0,0,True,False,False,False,False,False,True,True,False,True,,1.0,6142.0,1.7,hotfix,3,3,2,3,3,14,🔴 Critical,-1.0
9,94b84a4,94b84a4927d457165be9031eadb31bac130649c8,a7aaf78,25,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: bb5bccd,2026-04-15 16:14:36 +0000,2026-04-15 16:14:36 +0000,Oliver Pecha,fb85cfcbbb932d8ac840f343a54413ea1ac40421,1,False,"feat: Phase 2 infra — Redis cache, self-healing router, key watchdog",feat(infra): implement key rotation watchdog and redis cache tiering,"feat(infra): implement key rotation watchdog and redis cache tiering

Managing multiple API keys and monitoring LiteLLM health was entirely manual, leading to silent failures. Introducing key_watchdog.sh with Telegram alerts ensures proactive monitoring, while upgrading the config generator to support Redis caching and least-busy routing vastly improves system resilience.",2,3,2,2,3,12,Significant,190,21,2,1,1,0,0,True,False,False,False,False,True,False,False,True,True,,,69203.0,19.2,rapid,3,3,2,3,3,14,🔴 Critical,-2.0
10,eb881f6,eb881f60561312839739291a4a8e35cc5942d138,8828fb4,24,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: c3e3d2b,2026-04-15 19:42:25 +0000,2026-04-15 19:42:25 +0000,Oliver Pecha,94b84a4927d457165be9031eadb31bac130649c8,1,False,"feat: Phase 2 router — preflight proxy, tier routing, cache baseline",feat(proxy): implement Phase 2 multilingual preflight router,"feat(proxy): implement Phase 2 multilingual preflight router

Upstream model routing was static, resulting in expensive models handling basic queries. Developing a FastAPI preflight proxy with Lingua-based language detection and a nano-classifier fallback allows dynamic, context-aware tier routing. This heavily optimizes token spend and establishes the Phase 2 router.",3,3,3,3,3,15,Critical,543,0,5,5,0,0,0,True,True,True,False,False,False,True,False,False,True,,2.0,12469.0,3.5,rapid,3,2,2,3,3,13,🔴 Critical,2.0
